Day,Month,Year,Customer_Age,Age_Group,Customer_Gender,Country,State,Product_Category,Sub_Category,Product,Order_Quantity,Unit_Cost,Unit_Price,Profit,Cost,Revenue,Date,YearMonth
15,7,2020,52,Adults (35-64),F,France,Seine Saint Denis,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,427,360,787,2020-07-15,2020-07
15,7,2022,52,Adults (35-64),F,France,Seine Saint Denis,Accessories,Bike Racks,Hitch Rack - 4-Bike,8,45,120,427,360,787,2022-07-15,2022-07
17,8,2020,43,Adults (35-64),F,France,Moselle,Accessories,Bike Racks,Hitch Rack - 4-Bike,28,45,120,1697,1260,2957,2020-08-17,2020-08
17,8,2022,43,Adults (35-64),F,France,Moselle,Accessories,Bike Racks,Hitch Rack - 4-Bike,27,45,120,1636,1215,2851,2022-08-17,2022-08
24,9,2020,32,Young Adults (25-34),M,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,356,270,626,2020-09-24,2020-09
24,9,2022,32,Young Adults (25-34),M,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,178,135,313,2022-09-24,2022-09
28,7,2021,37,Adults (35-64),M,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,238,180,418,2021-07-28,2021-07
28,7,2023,37,Adults (35-64),M,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,178,135,313,2023-07-28,2023-07
6,6,2021,32,Young Adults (25-34),F,France,Loir et Cher,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,309,225,534,2021-06-06,2021-06
6,6,2023,32,Young Adults (25-34),F,France,Loir et Cher,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,433,315,748,2023-06-06,2023-06
19,12,2020,45,Adults (35-64),F,France,Seine (Paris),Accessories,Bike Racks,Hitch Rack - 4-Bike,21,45,120,1121,945,2066,2020-12-19,2020-12
19,12,2022,45,Adults (35-64),F,France,Seine (Paris),Accessories,Bike Racks,Hitch Rack - 4-Bike,22,45,120,1175,990,2165,2022-12-19,2022-12
4,5,2021,42,Adults (35-64),F,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,16,45,120,950,720,1670,2021-05-04,2021-05
4,5,2023,42,Adults (35-64),F,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,17,45,120,1010,765,1775,2023-05-04,2023-05
31,12,2020,29,Young Adults (25-34),M,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,12,45,120,713,540,1253,2020-12-31,2020-12
31,12,2022,29,Young Adults (25-34),M,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,13,45,120,772,585,1357,2022-12-31,2022-12
11,12,2020,35,Adults (35-64),M,France,Loiret,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,618,450,1068,2020-12-11,2020-12
11,12,2022,35,Adults (35-64),M,France,Loiret,Accessories,Bike Racks,Hitch Rack - 4-Bike,12,45,120,742,540,1282,2022-12-11,2022-12
20,5,2021,53,Adults (35-64),F,France,Seine (Paris),Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,53,45,98,2021-05-20,2021-05
20,5,2023,53,Adults (35-64),F,France,Seine (Paris),Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,107,90,197,2023-05-20,2023-05
8,11,2020,32,Young Adults (25-34),M,France,Seine (Paris),Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,267,225,492,2020-11-08,2020-11
8,11,2022,32,Young Adults (25-34),M,France,Seine (Paris),Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,160,135,295,2022-11-08,2022-11
10,6,2021,29,Young Adults (25-34),F,France,Hauts de Seine,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,133,90,223,2021-06-10,2021-06
10,6,2023,29,Young Adults (25-34),F,France,Hauts de Seine,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,133,90,223,2023-06-10,2023-06
10,3,2021,29,Young Adults (25-34),M,France,Seine (Paris),Accessories,Bike Racks,Hitch Rack - 4-Bike,1,45,120,53,45,98,2021-03-10,2021-03
10,3,2023,29,Young Adults (25-34),M,France,Seine (Paris),Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,107,90,197,2023-03-10,2023-03
22,5,2021,44,Adults (35-64),F,France,Yveline,Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,185,180,365,2021-05-22,2021-05
22,5,2023,44,Adults (35-64),F,France,Yveline,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,92,90,182,2023-05-22,2023-05
4,5,2021,45,Adults (35-64),F,France,Hauts de Seine,Accessories,Bike Racks,Hitch Rack - 4-Bike,10,45,120,666,450,1116,2021-05-04,2021-05
4,5,2023,45,Adults (35-64),F,France,Hauts de Seine,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,466,315,781,2023-05-04,2023-05
7,12,2020,27,Young Adults (25-34),M,France,Seine Saint Denis,Accessories,Bike Racks,Hitch Rack - 4-Bike,21,45,120,1121,945,2066,2020-12-07,2020-12
7,12,2022,27,Young Adults (25-34),M,France,Seine Saint Denis,Accessories,Bike Racks,Hitch Rack - 4-Bike,22,45,120,1175,990,2165,2022-12-07,2022-12
25,8,2020,22,Youth (<25),M,France,Yveline,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,92,90,182,2020-08-25,2020-08
25,8,2022,22,Youth (<25),M,France,Yveline,Accessories,Bike Racks,Hitch Rack - 4-Bike,2,45,120,92,90,182,2022-08-25,2022-08
3,1,2021,58,Adults (35-64),M,France,Seine (Paris),Accessories,Bike Racks,Hitch Rack - 4-Bike,4,45,120,214,180,394,2021-01-03,2021-01
3,1,2023,58,Adults (35-64),M,France,Seine (Paris),Accessories,Bike Racks,Hitch Rack - 4-Bike,6,45,120,320,270,590,2023-01-03,2023-01
13,10,2020,23,Youth (<25),F,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,7,45,120,416,315,731,2020-10-13,2020-10
13,10,2022,23,Youth (<25),F,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,9,45,120,535,405,940,2022-10-13,2022-10
14,3,2021,25,Young Adults (25-34),M,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,5,45,120,297,225,522,2021-03-14,2021-03
14,3,2023,25,Young Adults (25-34),M,France,Nord,Accessories,Bike Racks,Hitch Rack - 4-Bike,3,45,120,178,135,313,2023-03-14,2023-03
